# r	g
0.07500000000000001	0.0
0.125	0.0
0.17500000000000002	0.0
0.225	0.0
0.275	0.0
0.325	0.0
0.375	0.0
0.42500000000000004	0.0
0.47500000000000003	0.0
0.525	0.0
0.5750000000000001	0.0
0.625	0.0
0.675	0.0
0.7250000000000001	0.0
0.775	0.0
0.8250000000000001	0.0
0.875	0.0
0.925	0.2752950366994946
0.9750000000000001	0.7835320275293308
1.0250000000000001	1.2421849216928416
1.075	1.1844088788234073
1.125	1.3581221810508401
1.175	1.9504946217219512
1.225	2.2866342844223326
1.2750000000000001	0.3994477003090706
1.3250000000000002	0.7687484043684
1.375	0.740793916936822
1.425	0.8935014349018685
1.475	0.6905706005343255
1.5250000000000001	1.0018934122506198
1.5750000000000002	0.9700872721791715
1.625	0.3134128110117324
1.675	0.456085807069312
1.725	1.033353833408248
1.7750000000000001	1.2911724960694606
1.8250000000000002	0.9767317055502617
1.875	0.5432488724203361
1.925	0.9259923961710275
1.975	0.7736139005985798
2.025	1.0060164304080297
2.075	0.613609419149476
2.125	1.318177411019933
2.1750000000000003	0.23415899673290347
2.225	0.6866909904189641
2.275	0.8954651743192351
2.325	1.2047858057709064
2.375	1.0722017218822422
2.4250000000000003	0.9450850228962031
2.475	1.0288804401900304
2.5250000000000004	1.3110585411134346
2.575	1.878955444657716
2.625	1.164104726615006
2.6750000000000003	1.142345759762389
2.725	0.9344877392551653
2.7750000000000004	1.1929451590311435
2.825	1.1718310854199727
2.875	0.8857318572070697
2.9250000000000003	0.7835320275293308
2.975	1.283939036707727
3.0250000000000004	0.5892678884724719
3.075	0.9109356092414171
3.125	0.7333859777674537
3.1750000000000003	0.7218365922908008
3.225	0.8685665111371653
3.2750000000000004	0.7775508670138397
3.325	1.225373396436848
3.375	0.8299635550866247
3.4250000000000003	0.8178472988079876
3.475	1.1724795807633153
3.5250000000000004	1.7337729970861786
3.575	0.9972225804918757
3.625	0.9834677862781944
3.6750000000000003	1.1779631162175654
3.725	1.025427821263218
3.7750000000000004	0.8769331963738868
3.825	0.9986192507726767
3.875	0.9857338410852873
3.9250000000000003	0.9082982739511989
3.975	0.7687484043684001
4.025	0.7591987347489169
4.075	0.6249028440417975
4.125	1.111190875405233
4.175	0.6099351112503775
4.2250000000000005	0.904075416379997
4.275	0.8935014349018684
4.325	0.9420500677809295
4.375	1.513336144599508
4.425	1.2084985509350699
4.4750000000000005	0.6828547279026569
4.525	1.012964057689853
4.575	0.890571922000551
4.625	0.5505900733989894
4.675	1.3617535237809226
4.7250000000000005	1.1317684842090332
4.775	0.9599292902715361
4.825	1.0027586051800246
4.875	1.201415775544974
4.925000000000001	0.5687567509476867
4.9750000000000005	0.9213391680495647
5.025	1.0135240157095822
5.075	1.304600124654748
5.125	1.0434353342219869
5.175000000000001	1.1317684842090334
5.2250000000000005	1.1209381637859803
5.275	0.8206662468435172
5.325	1.1955300889532043
5.375	0.994903458211662
5.425000000000001	0.93879413436694
5.4750000000000005	1.0697537727455249
5.525	0.9218023853286245
5.575	1.096242119233862
5.625	1.177039223577395
5.675000000000001	0.8076938081139357
5.7250000000000005	0.8895996819110307
5.775	1.1023719002036043
5.825	1.0491931012409925
5.875	1.473707047523252
5.925000000000001	0.9025495506983431
5.9750000000000005	0.6392834534235126
6.025	1.479282458613467
6.075	1.2575205380100372
6.125	0.7899282073458967
6.175000000000001	1.3608714162351534
6.2250000000000005	0.8999604814192314
6.275	0.8116268014248049
6.325	0.9259923961710274
6.375	0.8388401706490483
6.425000000000001	0.8719461473672708
6.4750000000000005	0.825885110098484
6.525	0.5073444929212908
6.575	1.1231618797663792
6.625	1.1531226065526001
6.675000000000001	0.9155879872252856
6.7250000000000005	0.9466465016618308
6.775	1.24035143841359
6.825	1.1939535657589802
6.875	1.1482305712520742
6.925000000000001	1.4341181875717353
6.9750000000000005	0.6936645548377945
7.025	0.7249762532299857
7.075	1.115771756517033
7.125	0.8220213201097191
7.175000000000001	0.7453109530157048
7.2250000000000005	1.1278523302844345
7.275	0.6650598309269579
7.325	1.2167476878015204
7.375	1.001327370774772
7.425000000000001	1.0288804401900302
7.4750000000000005	0.8175986374219105
7.525	0.5752843125713691
7.575	1.3782923124525852
7.625	0.8683076239505372
7.675000000000001	0.729935374180419
7.7250000000000005	0.8570673958087827
7.775	0.9825642788953022
7.825	0.8135715940799761
7.875	1.1964409690209783
7.925000000000001	0.8675701629741172
7.9750000000000005	0.9898539407345464
8.025	0.9202229731419244
8.075000000000001	0.9145249980760302
8.125	1.0969448385410632
8.175	1.2771332436487255
8.225	1.0216876589972126
8.275	0.9847411584658659
8.325000000000001	1.1011801467979783
8.375	1.3378517007366484
8.425	1.0881097592988926
8.475	1.2619719381445862
8.525	0.9558631186281574
8.575000000000001	1.0096826710436275
8.625	1.2105002048496618
8.675	0.5870845163043976
8.725	1.0798822499759546
8.775	1.0737290747624162
8.825000000000001	0.7213821783202053
8.875	0.9181671083160609
8.925	0.8559593578051514
8.975	1.1349210426608694
9.025	1.0157700523094926
9.075000000000001	0.8137508936048421
9.125	0.893011845074525
9.175	1.1101816193876077
9.225	0.7177068436447529
9.275	1.3727650078007143
9.325000000000001	1.4473285977686565
9.375	0.9235230831145714
9.425	1.1888072141824328
9.475	1.3437884377152114
9.525	1.3099997415647866
9.575000000000001	1.010613111225821
9.625	1.1376478010101194
9.675	1.1054482869018465
9.725000000000001	0.916470623459757
9.775	0.8596809202303912
9.825000000000001	0.8812243159490185
9.875	0.5673168604389586
9.925	1.1289176819818065
9.975000000000001	0.7913869851987978
10.025	0.0
