# t-t0	Cv	<r^2>	Csigmaxy
0.050000000000000405	2.004450568026028	2.004475840004474e-8	1288.6725928361125
0.10000000000000184	2.024483617957766	2.024539561083693e-8	0.08157209537594946
0.1499999999999998	2.062081892599059	2.062178615089283e-8	3490.0154371483673
0.1999999999999943	2.124105933689551	2.124260859652349e-8	24274.839554959297
0.2499999999999888	2.2189083679741466	2.2191276929653066e-8	7842.8670945637405
0.2999999999999833	2.3091131104924045	2.3092196716117387e-8	9.285407076738514e6
0.3499999999999778	2.4775930283273295	2.4779923485623457e-8	3.517982848362482e6
0.39999999999997227	2.4568190086788406	2.4563084182587722e-8	418562.251143779
0.44999999999996676	2.3794929059657983	2.3798714940057763e-8	3.4558860324767474e6
0.49999999999996125	2.4029781953822944	2.4023968392895343e-8	201689.79549974605
0.5499999999999557	2.5380591282495817	2.538909780503414e-8	7.719598211888531e6
0.5999999999999502	2.7226912627819244	2.7229461349467156e-8	172956.01797946633
0.6499999999999447	2.7019900308611695	2.7018672504336837e-8	2.1882913965032203e6
0.6999999999999392	2.710899595494065	2.7109248822882418e-8	8.137959123438683e6
0.7499999999999337	2.719308159991286	2.7191493441534224e-8	211206.6375254387
0.7999999999999282	2.6350396764564645	2.6350387904813887e-8	59802.236558152195
0.8499999999999227	2.7156332534748486	2.7157834644426403e-8	0.2075123546077896
0.8999999999999172	2.7357070005867006	2.7355285388264935e-8	263.9163406047088
0.9499999999999117	2.6846869487318954	2.6849038858796296e-8	291712.3753568347
0.9999999999999062	2.707422914278608	2.707324655445839e-8	7349.68810285457
